Index,Topic,Value
2.5.1,Search_Query,ball
2.5.2,Title,Ball definition and meaning | Collins English Dictionary
2.5.3,Description,"1. any round, or spherical, object; sphere; globe · 2. a planet or star, esp. the earth · 3. a. a round or egg-shaped object used in various games · 4. a throw or ..."
2.5.4,Link,https://www.collinsdictionary.com/dictionary/english/ball
3.1.1,Search_Query,cat
3.1.2,Title,Cat - Wikipedia
3.1.3,Description,The cat (Felis catus) is a domestic species of small carnivorous mammal. ... It is the only domesticated species in the family Felidae and is commonly referred to ...
3.1.4,Link,https://en.wikipedia.org/wiki/Cat
3.2.1,Search_Query,cat
3.2.2,Title,Cat.com Global Selector: Language & Region
3.2.3,Description,Select your region and language for www.cat.com to view the most relevant products and services in your area of the world.
3.2.4,Link,https://www.cat.com/
3.3.1,Search_Query,cat
3.3.2,Title,Cat | Breeds & Facts - Encyclopedia Britannica
3.3.3,Description,"  cat, (Felis catus), also called house cat or domestic cat, domesticated member of the family Felidae, order Carnivora, and the smallest ..."
3.3.4,Link,https://www.britannica.com/animal/cat
3.4.1,Search_Query,cat
3.4.2,Title,Domestic cat - National Geographic
3.4.3,Description,"As mostly nocturnal animals, cats have excellent vision and hearing, with ears that can turn like satellite dishes. Their reputation for having nine lives stems ..."
3.4.4,Link,https://www.nationalgeographic.com/animals/mammals/facts/domestic-cat
3.5.1,Search_Query,cat
3.5.2,Title,CAT 2022
3.5.3,Description,Welcome to Common Admission Test 2022 (CAT 2022). Search Results. ANNOUNCEMENTS. New The CAT Committee has decided that two questions from the DILR section ...
3.5.4,Link,https://iimcat.ac.in/
4.1.1,Search_Query,dog
4.1.2,Title,Dog - Wikipedia
4.1.3,Description,"The dog is a domesticated descendant of the wolf. Also called the domestic dog, it is derived from the extinct Pleistocene wolf, and the modern wolf is the ..."
4.1.4,Link,https://en.wikipedia.org/wiki/Dog
4.2.1,Search_Query,dog
4.2.2,Title,"Dog | History, Domestication, Physical Traits, Breeds, & Facts"
4.2.3,Description,"dog, (Canis lupus familiaris), domestic mammal of the family Canidae (order Carnivora). It is a subspecies of the gray wolf (Canis lupus) and is related to ..."
4.2.4,Link,https://www.britannica.com/animal/dog
4.3.1,Search_Query,dog
4.3.2,Title,"Dog, facts and photos - National Geographic"
4.3.3,Description,"The term “domestic dog” refers to any of several hundred breeds of dog in the world today. While these animals vary drastically in appearance, ..."
4.3.4,Link,https://www.nationalgeographic.com/animals/mammals/facts/domestic-dog
4.4.1,Search_Query,dog
4.4.2,Title,Dog Breeds - Types Of Dogs - American Kennel Club
4.4.3,Description,"  Complete list of AKC recognized dog breeds. Includes personality, history, health, nutrition, grooming, pictures, videos and AKC breed ..."
4.4.4,Link,https://www.akc.org/dog-breeds/
4.5.1,Search_Query,dog
4.5.2,Title,Dog (2022) - IMDb
4.5.3,Description,"Dog: Directed by Reid Carolin, Channing Tatum. With Channing Tatum, Ryder McLaughlin, Aavi Haas, Luke Forbes. Two former Army Rangers are paired against ..."
4.5.4,Link,https://www.imdb.com/title/tt11252248/
5.1.1,Search_Query,elephant
5.1.2,Title,Elephant - Wikipedia
5.1.3,Description,"Elephants are the largest existing land animals. Three living species are currently recognised: the African bush elephant, the African forest elephant, ..."
5.1.4,Link,https://en.wikipedia.org/wiki/Elephant
5.2.1,Search_Query,elephant
5.2.2,Title,Elephant | Species - WWF
5.2.3,Description,"Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks. They use their trunks to pick up objects, ..."
5.2.4,Link,https://www.worldwildlife.org/species/elephant
5.3.1,Search_Query,elephant
5.3.2,Title,"African elephant, facts and photos - National Geographic"
5.3.3,Description,African elephants are the largest land animals on Earth. They are slightly larger than their Asian cousins and can be identified by their larger ears that ...
5.3.4,Link,https://www.nationalgeographic.com/animals/mammals/facts/african-elephant
5.4.1,Search_Query,elephant
5.4.2,Title,"Elephant | Description, Habitat, Scientific Names, Weight ..."
5.4.3,Description,"  elephant, (family Elephantidae), largest living land animal, characterized by its long trunk (elongated upper lip and nose), columnar legs, ..."
5.4.4,Link,https://www.britannica.com/animal/elephant-mammal
5.5.1,Search_Query,elephant
5.5.2,Title,Our top 10 facts about elephants - WWF-UK
5.5.3,Description,"The African Savanna (Bush) elephant is the world's largest land animal – with adult males, or bull elephants, standing up to 3m high and weighing up to ..."
5.5.4,Link,https://www.wwf.org.uk/learn/fascinating-facts/elephants
